Index,Index.1,Ticker,Company,Total GHG,naics
128,128.0,GPK,GRAPHIC PACKAGING HOLDING COMPANY,819172.0,322130.0
129,129.0,GPN,GREEN PLAINS,811336.0,713990.0
130,130.0,GPOR,GULFPORT ENERGY CORP,35254.0,211111.0
131,131.0,GR,GOODRICH CORPORATION,25033.0,336414.0
132,132.0,GRA,W.R. GRACE& CO.-CONN.,242179.0,339112.0
133,133.0,GSK,GLAXOSMITHKLINE,29563.0,325412.0
134,134.0,GT,THE GOODYEAR TIRE & RUBBER COMPANY,735499.0,326211.0
135,135.0,GTF,GRAFTECH INTERNATIONAL LTD,25689.0,541711.0
136,136.0,GXP,"GREAT PLAINS ENERGY,INC.",11141662.0,221119.0
137,137.0,HAL,HALLIBURTON,79212.0,213112.0
138,138.0,HAYN,"HAYNES INTERNATIONAL,INC.",55875.0,331112.0
139,139.0,HE,"HAWAIIAN ELECTRIC COMPANY,INC.",3614261.0,221121.0
140,140.0,HES,HESS CORPORATION,265443.56,211111.0
141,141.0,HFC,HOLLYFRONTIER CORPORATION,2469943.0,
142,142.0,HII,"HUNTINGTON INGALLS INDUSTRIES,INC.",78582.0,
143,143.0,HON,HONEYWELL INTERNATIONAL,5231832.0,336412.0
144,144.0,HRL,HORMEL FOODS CORPORATION,71153.0,311611.0
145,145.0,HSC,HARSCO,3910.0,332313.0
146,146.0,HXL,HEXCEL CORPORATION,55876.0,334220.0
147,147.0,IBM,IBM CORPORATION,102926.0,334111.0
148,148.0,IDA,IDACORP,1475557.5,221111.0
149,149.0,INTC,INTEL CORPORATION,66500.0,334413.0
150,150.0,IP,INTERNATIONAL PAPER,6042024.0,322121.0
151,151.0,IPI,"INTREPID POTASH,INC.",81007.0,325188.0
152,152.0,ITW,ILLINOIS TOOL WORKS,26522.0,333993.0
153,153.0,JOY,JOY GLOBAL,13190.0,
154,154.0,K,KELLOGG COMPANY,128889.0,311230.0
155,155.0,KMB,KIMBERLY-CLARK CORPORATION - WORLD HEADQUARTERS,1305296.0,322291.0
156,156.0,KMG,"KMG CHEMICALS,INC.",1430.0,
157,157.0,KMI,KINDER MORGAN,113180.69,
158,158.0,KMP,"KINDER MORGAN ENERGY PARTNERS,L.P.",163136.0,486210.0
159,159.0,KODK,EASTMAN KODAK COMPANY,1072279.0,
160,160.0,KS,KAPSTONE PAPER AND PACKAGING CORPORATION,318168.0,322121.0
161,161.0,L,LOEWS CORPORATION,1134121.0,312221.0
162,162.0,LECO,"LINCOLN ELECTRIC HOLDINGS,INC.",28977.0,332311.0
163,163.0,LEG,"LEGGETT & PLATT,INC.",97181.0,337910.0
