REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2010,"B BRAUN MEDICAL, INC",1005872,2525 MCGAW AVE,33.6878,-117.8379,IRVINE,ORANGE COUNTY,CA,92614,B.Braun Medical Inc. (100%),53483,C
2010,B C Cobb,1000668,151 N CAUSEWAY,43.2542,-86.2417,MUSKEGON,Muskegon,MI,49445,CMS Energy (100%),1950172,"C,D"
2010,B L England,1000732,900 NORTH SHORE ROAD,39.29,-74.6339,MARMORA,Cape May,NJ,8223,"RC Cape May Holdings, LLC (100%)",603884,"C,D"
2010,B117 COMPRESSOR STATION,1005983,BLEWITT ROAD NEAR HWY 287,33.168391,-97.850395,BRIDGEPORT,WISE,TX,76426,Devon Energy (100%),68352,C (Abbr)
2010,BACKRIDGE LANDFILL,1003412,26265 STATE HIGHWAY B,40.0161,-91.5217,LA GRANGE,LEWIS,MO,63448,"Republic Services, Inc. (100%)",89705,HH
2010,BADGER CREEK LIMITED,1002728,34759 LENCIONI AVE,35.44735,-119.08652,BAKERSFIELD,KERN COUNTY,CA,93308,Badger Creek Ltd (100%),180623,C
2010,BADGER STATE ETHANOL,1002032,820 West 17th Street,42.5949,-89.66691,MONROE,GREEN COUNTY,WI,53566,Badger State Ethanol (100%),90534,"C,PP"
2010,BADLANDS SANITARY LANDFILL,1000046,31125 IRONWOOD AVENUE,33.752899,-116.055397,MORENO VALLEY,RIVERSIDE,CA,92555,County of Riverside (100%),42166,"C,HH"
2010,BAILEY CMP STN,1006833,2844 County Road 3115,33.478057,-96.147923,BAILEY,FANNIN,TX,75413,Energy Transfer Partners LP (100%),47407,C
2010,BAKERSFIELD CITY LANDFILL,1007654,4200 PANORAMA DRIVE,35.4142,-118.9491,BAKERSFIELD,KERN,CA,93306,City of Bakersfield (100%),9930,HH
2010,BAKERSFIELD METROPOLITAN SANITARY LANDFILL,1002896,2951 Neumarkel Road,35.3436,-118.7573,Edison,KERN,CA,93220,,75273,HH
2010,BALDWIN COUNTY SOLID WASTE,1007875,15140 COUNTY ROAD 49,30.443309,-87.774276,SUMMERDALE,BALDWIN COUNTY,AL,36580,Baldwin County  (100%),124264,HH
2010,BALL STATE UNIVERSITY,1004171,2000 W UNIVERSITY AVE,40.19765,-85.40893,MUNCIE,DELAWARE COUNTY,IN,47306,Ball State University (100%),79489,C
2010,BARBER CREEK,1004964,,44.168462,-105.8914954,GILLETTE,CAMPBELL,WY,82718,Basin Electric Power Cooperative (100%),1626,C
2010,"BARGATH, INC- HYRUP PROD FACILITY",1002944,,39.369139,-108.06329,PARACHUTE,GARFIELD,CO,81635,"The Williams Companies, Inc. (73%)",44748,C (Abbr)
2010,"BARGATH, INC.- PARACHUTE",1002943,,39.487297,-108.111356,"PARACHUTE, 3.4 MI NW OF",GARFIELD,CO,81635,"The Williams Companies, Inc. (73%)",170482,"C (Abbr),PP"
2010,BARRICK WESTERN 102 POWER PLANT,1004748,2555 WALTHAM WAY,39.55904,-119.51061,MCCARRAN,STOREY COUNTY,NV,89434,,94899,C
2010,BARROW UTILITIES & ELECTRIC,1005395,1295 AGVIK STREET,71.292071,-156.77847,BARROW,NORTH SLOPE,AK,99723,"Barrow Utilities & Electric Cooperative, Inc. (100%)",42689,C
2010,BARSTOW SANITARY LANDFILL,1004406,"32553 BARSTOW ROAD, 5 MILES S OF BARSTOW",34.837222,-117.017655,BARSTOW,SAN BERNARDINO COUNTY,CA,92311,San Bernardino County - Solid Waste Management Division (100%),40117,HH
2010,BARTHOLOMEW CO LANDFILL,1002168,11110 E 25th Street,39.2283,-85.8009,COLUMBUS,BARTHOLOMEW,IN,47201,Bartholomew County Solid Waste Management District (100%),35751,HH
2010,BARTHOLOMEW COUNTY LANDFILL II,1002167,811 E CR 450 S,39.134761,-85.93343,COLUMBUS,BARTHOLOMEW,IN,47201,Bartholomew County Solid Waste Management District (100%),46698,HH
2010,BARTON COUNTY SANITARY LANDFILL,1002401,350 NE 30 ROAD,38.4082,-98.7054,GREAT BEND,BARTON,KS,67530,Barton County  (100%),31744,"C,HH"
2010,BASF BEAUMONT AGRO PLANT,1005850,14385 WEST PORT ARTHUR ROAD,29.971389,-94.053333,BEAUMONT,JEFFERSON COUNTY,TX,77705,BASF Corporation (100%),32462,C
2010,BASF CORP - GEISMAR SITE,1004208,8404 RIVER ROAD HIGHWAY 75,30.209725,-91.012892,GEISMAR,ASCENSION,LA,70734,BASF Corporation (100%),704306,"C,X"
2010,BASF CORP - PASADENA PLANT,1002613,4403 LA PORTE FWY,29.731639,-95.152083,PASADENA,HARRIS,TX,77501,BASF Corporation (100%),80062,C
2010,BASF CORP ATTAPULGUS OPS,1007885,141 ENGELHARD RD,30.738055,-84.49394,ATTAPULGUS,DECATUR,GA,39815,BASF Corporation (100%),94402,C
2010,BASF CORP SAVANNAH OPERATIONS,1002622,1800 EAST PRESIDENT STREET,32.07069,-81.0604,SAVANNAH,CHATHAM COUNTY,GA,31404,BASF Corporation (100%),47862,C
2010,BASF CORPORATION,1000017,3150 HWY JJ,39.834118,-91.436791,PALMYRA,MARION,MO,63461,BASF Corporation (100%),128757,C
2010,BASF CORPORATION,1003551,1379 CIBA RD,31.279,-87.9955,MC INTOSH,WASHINGTON COUNTY,AL,36553,BASF Corporation (100%),91358,C
2010,BASF Corporation,1000356,2525 SOUTH KENSINGTON ROAD,41.085542,-87.880542,KANKAKEE,KANKAKEE,IL,60901,BASF CORPORATION (100%),52520,C
2010,BASF Corporation,1005378,205 South James Street,39.71161,-75.60906,Newport,NEW CASTLE COUNTY,DE,19804,BASF Corporation (100%),32206,C
2010,BASF Corporation,1006829,Highway 18 Spur,32.890393,-83.344945,Gordon,WILKINSON COUNTY,GA,31031,BASF Corporation (100%),50960,C
2010,BASF Corporation,1003325,1277 Dedrick Road,32.877917,-83.223889,McIntyre,WILKINSON COUNTY,GA,31054,BASF Corporation (100%),267401,C
