Company,Total GHG,Matched
"Eagle rock operating, l.p.",38451.0,None
Town of brookhaven,2183.0,None
City of wichita,198662.0,None
Broome county division of solid waste managment,87914.0,None
Broward county solid waste and recycling services - solid waste operations division,32549.0,None
Brown county port & solid waste department,9793.0,None
Brown county,40293.0,None
Brown university,31072.0,None
Brown-forman corporation,46217.0,None
Republic services,341691.0,Republic services
Verso paper corp.,1073468.0,None
"County of santa cruz, department of public works",85158.0,None
Doe run resources company,125280.0,None
Buncombe county,62406.0,None
Buncombe county solid waste services,4638.0,None
"Bunge north america, inc.",217258.0,None
"Solae, llc",193485.0,None
Llc,196020.0,Cellcom israel ltd
", inc",91351.0,None
"Bunge oils, inc.",39504.0,None
City of burbank,13232.0,None
Burlington county,52949.0,None
"Bushmills ethanol, inc.",76497.0,None
"Sowega energy resources, llc.",74859.85,None
"Tejas power generation, llc.",40309.15,None
Northern indiana public service company,16116942.0,None
"Dynegy, inc.",28156001.0,None
"C/r energy jade, llc",881944.0,None
Edison international,33880404.0,Edison international
Barrick gold corporation,255535.0,Barrick gold corp
Southern company,98652305.75,Southern co
Direct energy lp,1652215.0,None
"Seneca power partners, lp",16311.0,None
"Bavarian trucking company, inc.",48035.0,None
Bayonne plant holding llc,121462.0,None
"Nrg energy, inc.",85413.0,None
Tampa electric company,15018133.0,None
Nextera energy resources,548236.0,None
Nebraska public power district,10837147.0,None
Northern natural gas company,266429.0,None
"Beaulieu group, llc",34774.0,None
Portland general electric company,3908114.3,Portland general electric co
Integrys energy group inc.,102592.75,None
Pvr midstream llc,150365.0,None
"Dominion resources, inc.",446477.0,None
"Sarasota county, fl",85046.0,None
Duke energy corporation,53133731.77,None
"Northeast energy associates, lp",433650.0,None
Orion engineered carbons llc,176190.0,None
Idacorp,88523.0,None
Pepco holdings incorporated,219213.0,None
Contour global,22609.0,None
Public service enterprise group,7870409.0,Public service enterprise gp
"Eif berkshire holdings, llc",399469.0,None
Berry petroleum company,1059736.0,Berry petroleum co
"Public service enterprise group, inc",5182872.0,None
Luminant generation company llc,51103248.0,None
"Louisiana generating, llc",10778807.42,None
Entergy corporation,1754689.58,None
"Western wisconsin energy, llc",83022.0,None
Merced county regional waste management,25426.0,None
"Standard binghamton, llc",3762.0,None
Ge energy financial services,396094.0,None
"J-power development co, ltd.",396094.0,None
Jonah gas gathering company,507790.0,None
Chevron corporation,12327321.72,None
Dynegy inc.,181493.5,None
Unisource energy corporation,777389.0,Unisource energy corp
County of greenville,188204.0,None
"Great point power, llc",1126146.0,None
Qep resources inc,62656.0,None
Madison gas and electric co.,119041.0,None
"Crosstex north texas gathering, lp",172626.0,None
"Pioneer natural resources usa, inc.",371710.75,None
Reynolds group holdings inc.,1276996.0,None
City of independence,177257.0,None
Islip resource recovery agency,67780.0,None
The boeing company,89463.0,None
Agave energy company,27602.0,None
Metropolitan government of nashville and davidson county,118592.0,None
"Orion engineered carbons, llc",593572.0,None
"Bospower partners, llc",256786.0,None
Trustees of boston university,54444.0,None
Allete,9559457.0,None
Northern tier solid waste authority,26164.0,None
Constellation energy,8415582.0,None
Jea,12657952.4,Joes jeans
Panda energy,262242.0,None
Bridgeport energy llc,1260052.0,None
Bristol-myers squibb company,67160.0,Bristol myers squibb co
"T s landfill, inc.",8929.0,None
City of pasadena,72492.0,None
New york city department of environmental protection,42741.0,None
B-41 associates,505558.5,None
Mission energy new york,505558.5,None
"Cemex, inc",1302441.0,None
City of brownsville,125798.0,None
"Ppl generation, llc",18680435.0,None
Bicent power llc,954070.23,None
"Veresen u.s. power, inc.",57469.0,None
City of bryan,78324.0,None
Consol energy inc.,180081.0,None
"Buchanan generation, llc",15120.5,None
Hess corproation,523431.0,None
", llc",43315.0,None
Alliant energy corporation,12810359.88,Alliant energy corp
"Enterprise gas processing, llc",421710.92,None
"Algonquin gas transmission, llc",183066.0,None
Public works commission of the city of fayetteville,51017.0,None
